#datatype measurement,double,dateTime,tag
measurement,value,timestamp,unique_id
data,302,1954-07-01T00:00:00Z,AirPassengers
data,293,1954-08-01T00:00:00Z,AirPassengers
data,259,1954-09-01T00:00:00Z,AirPassengers
data,229,1954-10-01T00:00:00Z,AirPassengers
data,203,1954-11-01T00:00:00Z,AirPassengers
data,229,1954-12-01T00:00:00Z,AirPassengers
data,242,1955-01-01T00:00:00Z,AirPassengers
data,233,1955-02-01T00:00:00Z,AirPassengers
data,267,1955-03-01T00:00:00Z,AirPassengers
data,269,1955-04-01T00:00:00Z,AirPassengers
data,270,1955-05-01T00:00:00Z,AirPassengers
data,315,1955-06-01T00:00:00Z,AirPassengers
data,364,1955-07-01T00:00:00Z,AirPassengers
data,347,1955-08-01T00:00:00Z,AirPassengers
data,312,1955-09-01T00:00:00Z,AirPassengers
data,274,1955-10-01T00:00:00Z,AirPassengers
data,237,1955-11-01T00:00:00Z,AirPassengers
data,278,1955-12-01T00:00:00Z,AirPassengers
data,284,1956-01-01T00:00:00Z,AirPassengers
data,277,1956-02-01T00:00:00Z,AirPassengers
data,317,1956-03-01T00:00:00Z,AirPassengers
data,313,1956-04-01T00:00:00Z,AirPassengers
data,318,1956-05-01T00:00:00Z,AirPassengers
data,374,1956-06-01T00:00:00Z,AirPassengers
data,413,1956-07-01T00:00:00Z,AirPassengers
data,405,1956-08-01T00:00:00Z,AirPassengers
data,355,1956-09-01T00:00:00Z,AirPassengers
data,306,1956-10-01T00:00:00Z,AirPassengers
data,271,1956-11-01T00:00:00Z,AirPassengers
data,306,1956-12-01T00:00:00Z,AirPassengers
data,315,1957-01-01T00:00:00Z,AirPassengers
data,301,1957-02-01T00:00:00Z,AirPassengers
data,356,1957-03-01T00:00:00Z,AirPassengers
data,348,1957-04-01T00:00:00Z,AirPassengers
data,355,1957-05-01T00:00:00Z,AirPassengers
data,422,1957-06-01T00:00:00Z,AirPassengers
data,465,1957-07-01T00:00:00Z,AirPassengers
data,467,1957-08-01T00:00:00Z,AirPassengers
data,404,1957-09-01T00:00:00Z,AirPassengers
data,347,1957-10-01T00:00:00Z,AirPassengers
data,305,1957-11-01T00:00:00Z,AirPassengers
data,336,1957-12-01T00:00:00Z,AirPassengers
data,340,1958-01-01T00:00:00Z,AirPassengers
data,318,1958-02-01T00:00:00Z,AirPassengers
data,362,1958-03-01T00:00:00Z,AirPassengers
data,348,1958-04-01T00:00:00Z,AirPassengers
data,363,1958-05-01T00:00:00Z,AirPassengers
data,435,1958-06-01T00:00:00Z,AirPassengers
data,491,1958-07-01T00:00:00Z,AirPassengers
data,505,1958-08-01T00:00:00Z,AirPassengers
data,404,1958-09-01T00:00:00Z,AirPassengers
data,359,1958-10-01T00:00:00Z,AirPassengers
data,310,1958-11-01T00:00:00Z,AirPassengers
data,337,1958-12-01T00:00:00Z,AirPassengers
data,360,1959-01-01T00:00:00Z,AirPassengers
data,342,1959-02-01T00:00:00Z,AirPassengers
data,406,1959-03-01T00:00:00Z,AirPassengers
data,396,1959-04-01T00:00:00Z,AirPassengers
data,420,1959-05-01T00:00:00Z,AirPassengers
data,472,1959-06-01T00:00:00Z,AirPassengers
data,548,1959-07-01T00:00:00Z,AirPassengers
data,559,1959-08-01T00:00:00Z,AirPassengers
data,463,1959-09-01T00:00:00Z,AirPassengers
data,407,1959-10-01T00:00:00Z,AirPassengers
data,362,1959-11-01T00:00:00Z,AirPassengers
data,405,1959-12-01T00:00:00Z,AirPassengers
data,417,1960-01-01T00:00:00Z,AirPassengers
data,391,1960-02-01T00:00:00Z,AirPassengers
data,419,1960-03-01T00:00:00Z,AirPassengers
data,461,1960-04-01T00:00:00Z,AirPassengers
data,472,1960-05-01T00:00:00Z,AirPassengers
data,535,1960-06-01T00:00:00Z,AirPassengers
data,622,1960-07-01T00:00:00Z,AirPassengers
data,606,1960-08-01T00:00:00Z,AirPassengers
data,508,1960-09-01T00:00:00Z,AirPassengers
data,461,1960-10-01T00:00:00Z,AirPassengers
data,390,1960-11-01T00:00:00Z,AirPassengers
data,432,1960-12-01T00:00:00Z,AirPassengers
